Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-27,156.764,159.182,155.177,157.69,493300,0.0,0.0
2022-06-28,158.351,159.853,154.828,155.017,411400,0.0,0.0
2022-06-29,155.13,156.226,152.419,154.903,382700,0.0,0.0
2022-06-30,152.92,153.732,150.729,152.892,616300,0.0,0.0
2022-07-01,152.57,155.999,151.541,155.319,499500,0.0,0.0
2022-07-05,153.043,154.138,151.173,154.063,502400,0.0,0.0
2022-07-06,154.601,157.633,154.006,156.537,544600,0.0,0.0
2022-07-07,157.321,158.7,154.696,157.888,390900,0.0,0.0
2022-07-08,157.595,157.973,155.791,155.801,372300,0.0,0.0
2022-07-11,154.516,157.0,154.016,154.667,513000,0.0,0.0
2022-07-12,154.176,158.889,154.176,156.821,362300,0.0,0.0
2022-07-13,154.242,155.952,153.515,154.006,387200,0.0,0.0
2022-07-14,151.418,155.092,150.776,154.932,295100,0.0,0.0
2022-07-15,157.274,159.38,155.867,157.746,383100,0.0,0.0
2022-07-18,158.814,159.56,155.64,156.093,342200,0.0,0.0
2022-07-19,158.313,162.422,157.926,162.129,437300,0.0,0.0
2022-07-20,162.431,164.16,161.61,163.706,369300,0.0,0.0
2022-07-21,163.64,166.408,163.376,166.266,339600,0.0,0.0
2022-07-22,166.436,167.296,164.264,165.577,332700,0.0,0.0
2022-07-25,165.699,165.699,163.669,165.085,346400,0.0,0.0
2022-07-26,164.018,164.028,161.185,162.233,706200,0.0,0.0
2022-07-27,170.488,175.541,164.934,173.974,918400,0.0,0.0
2022-07-28,175.381,178.725,175.088,178.649,498300,0.0,0.0
2022-07-29,179.886,180.047,176.477,179.896,595700,0.0,0.0
2022-08-01,178.356,180.755,177.478,179.867,433000,0.0,0.0
2022-08-02,178.913,182.172,177.789,179.905,710800,0.0,0.0
2022-08-03,180.519,182.805,178.876,182.408,526400,0.0,0.0
2022-08-04,182.229,183.513,181.369,182.795,381100,0.0,0.0
2022-08-05,181.095,183.145,180.632,182.569,377100,0.0,0.0
2022-08-08,184.184,186.81,184.184,186.167,505800,0.0,0.0
2022-08-09,185.997,186.536,182.607,182.937,376500,0.0,0.0
2022-08-10,186.904,188.954,185.799,186.366,382100,0.0,0.0
2022-08-11,187.716,189.549,187.254,187.735,396100,0.0,0.0
2022-08-12,188.803,191.391,187.953,191.24,296800,0.0,0.0
2022-08-15,189.709,191.391,189.502,190.021,285600,0.0,0.0
2022-08-16,189.379,193.034,189.001,192.798,230800,0.0,0.0
2022-08-17,190.72,192.345,189.596,189.804,349400,0.0,0.0
2022-08-18,189.851,189.851,188.038,188.434,434200,0.0,0.0
